program_name,career_pathway,program_options,degree_or_certificate,department,image
"Accounting","Business, Management & Entrepreneurship","Degree; Certificate","AA; C-ACH","Business","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-accounting.jpg?1577830849"
"Administrative Assistant","Business, Management & Entrepreneurship","Degree; Certificate; Noncredit","AS; C-ACH; C-COMP","Administrative Assistant Customer Support; Administrative Assistant Human Resources Support; Administrative Assistant Office Support; Administrative Assistant Office Technologies; Administrative Assistant Virtual Support","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-computer_support_specialist.jpg?1577830849"
"Administration of Justice","Society & Education","Degree; Transfer; Certificate; Noncredit","AA; AS-T; C-ACH; C-ACMP; C-COMP","Administration Justice","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-administration_of_justice.jpg?1577830849"
"Advanced Manufacturing Technology","Trades & Service Industry","Degree; Certificate","AS; C-ACH","Advanced Manufacturing","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-adv.manufacturing.png?1577830849"
"Advanced Transportation Technology","Trades & Service Industry","Degree; Certificate","AS; C-ACH","Advanced Transportation","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-att-electrical_vehicles.jpg?1577830849"
"American Sign Language & Deaf Studies","Arts, Language & Communication","Degree","AA","American Sign Language Deaf Studies","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/asl_square_tile.jpg?1630086678"
"Artificial Intelligence","Health, Science & Technology","Degree; Certificate; Noncredit","AS; C-ACMP; C-COMP","Artificial Intelligence","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-database_management.jpg?1577830849"
"Anthropology","Society & Education","Degree; Transfer; Certificate","AA-T; C-ACH","Anthropology","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-anthropology.jpg?1577830849"
"Applied Design","Arts, Language & Communication","Certificate","C-ACH","Art","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/applied_design_program_tile.jpg?1673036902"
"Architecture","Arts, Language & Communication; Trades & Service Industry","Degree; Certificate; Noncredit","AS; C-ACH; C-COMP","Architectural Design; Design Management; Industrial Design; Interior Design","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-architectural_design.jpg?1577830849"
"Art","Arts, Language & Communication; Business, Management & Entrepreneurship","Degree; Transfer; Certificate","AA; AA-T; C-ACH","Art","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-art.jpg?1577830849"
"Art History","Arts, Language & Communication","Degree; Transfer","AA-T","Art","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/art-history-tile.jpg?1651188639"
"Automotive Technology","Trades & Service Industry","Degree; Certificate; Noncredit","AS; C-ACH; C-ACMP; C-COMP","Automotive Technology","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-automotive_tech.jpg?1577830849"
"Baking & Pastry Arts","Trades & Service Industry","Degree; Certificate; Noncredit","AS; C-ACH; C-COMP","Baking Pastry Arts","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-culinary_arts.jpg?1577830849"
"Biology","Health, Science & Technology","Degree; Transfer","AS-T","Biological Sciences","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-biology.jpg?1577830849"
"Business Administration","Business, Management & Entrepreneurship","Degree; Transfer","AS-T","Business","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-business_administration.jpg?1577830849"
"Business Information Worker","Business, Management & Entrepreneurship; Health, Science & Technology","Certificate; Noncredit","C-ACH; C-ACMP; C-COMP","Business Information Worker","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-business_information_worker.jpg?1577830849"
"Child Development: Early Childhood Education","Society & Education","Degree; Transfer; Certificate; Noncredit","AA; AS-T; C-ACH; C-ACMP; C-COMP","Child Development Early Childhood Education","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/hero-early_childhood_education_0.png?1577830849"
"Cloud Computing","Health, Science & Technology","Degree; Certificate","AS; C-ACH","Computer Security Networking","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/cloud_computing_tile.jpg?1669933385"
"College & Workplace Readiness","Arts, Language & Communication; Society & Education","Certificate; Noncredit","C-COMP; C-COMPETENCY","Counseling Student Development; English Second Language; Foundational Skills; Reading","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-college_prep.jpg?1577830849"
"Comics & Animation","Arts, Language & Communication","Certificate","C-ACH","Digital Media Arts","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/comics_animation_square_tile.jpg?1695933167"
"Commercial Music","Arts, Language & Communication","Certificate","C-ACH","Music","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/commercial_music_tile.jpg?1676502510"
"Communication Studies","Arts, Language & Communication","Degree; Certificate","AA; C-ACH","Communication Studies","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/comm.jpeg?1577830849"
"Computer Aided Design – Mechanical","Health, Science & Technology","Degree; Certificate","AS; C-ACH","Computer Aided Design Mechanical","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-drafting_mechanics.jpg?1577830849"
"Computer Science","Business, Management & Entrepreneurship; Health, Science & Technology","Degree; Certificate","AS; C-ACH; C-ACMP","Computer Science","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-computer_science.jpg?1577830849"
"Computer Security & Networking","Health, Science & Technology","Degree; Certificate","AS; C-ACH; C-ACMP","Computer Security Networking","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-computer_security__networking.jpg?1577830849"
"Computer Technology","Health, Science & Technology","Degree; Certificate; Noncredit","AS; C-ACH; C-ACMP; C-COMP","Computer Technology","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-engineering.jpg?1577830849"
"Construction Technology","Trades & Service Industry","Degree; Certificate; Noncredit","AS; C-ACH; C-COMP","Construction Technology","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/tile-construction_tech.jpg?1577830849"
"Counseling & Student Support Services","Society & Education","Certificate; Noncredit","C-COMP; C-COMPETENCY","Counseling Student Development","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/counseling-student-dev-tile.jpg?1648673230"
"Culinary Arts","Trades & Service Industry","Degree; Certificate; Noncredit","AS; C-ACH; C-COMP","Culinary Arts","https://www.lbcc.edu/sites/main/files/imagecache/tile/main-images/culinaryarts_tile.jpg?1635804262"
